"","Germplasm","Rep","Plot","Row","Range","GNDVI_133","NDRE_133","NDVI_133","GNDVI_159","NDRE_159","NDVI_159","GNDVI_164","NDRE_164","NDVI_164","GNDVI_168","NDRE_168","NDVI_168","GNDVI_171","NDRE_171","NDVI_171","GNDVI_175","NDRE_175","NDVI_175","GNDVI_178","NDRE_178","NDVI_178","GNDVI_181","NDRE_181","NDVI_181","GNDVI_187","NDRE_187","NDVI_187","GNDVI_189","NDRE_189","NDVI_189","GNDVI_192","NDRE_192","NDVI_192","GNDVI_194","NDRE_194","NDVI_194","GNDVI_196","NDRE_196","NDVI_196","GNDVI_207","NDRE_207","NDVI_207","GNDVI_223","NDRE_223","NDVI_223","GNDVI_231","NDRE_231","NDVI_231","GNDVI_236","NDRE_236","NDVI_236","GNDVI_238","NDRE_238","NDVI_238","GNDVI_243","NDRE_243","NDVI_243","GNDVI_245","NDRE_245","NDVI_245","GNDVI_252","NDRE_252","NDVI_252","GNDVI_258","NDRE_258","NDVI_258","GNDVI_259","NDRE_259","NDVI_259"
"23","NY1517",1,2111200,1,23,0.347392068702196,0.358340437624325,0.547117660829255,0.215948115926011,0.294986892429348,0.493545121166605,0.198519839294954,0.424190052167656,0.452842237812556,0.0406598647720654,0.335778012251238,0.28768691931182,0.136263820325568,0.323467359988393,0.348201534842267,0.125075380614456,0.364033050627048,0.393065770378476,0.115906213314114,0.301368721701933,0.382845024877565,0.237377695614367,0.345046738756525,0.511584630801215,0.240164806163275,0.301240743637881,0.524491421568627,0.287210740169211,0.378771431558405,0.544321653424403,0.277341779565944,0.255104831089062,0.491192564375148,0.28127689024324,0.330451225964686,0.580812031659489,0.244247653487985,0.295935465375069,0.493018179440559,0.260087928902967,0.274663332894679,0.414397216007954,0.224694387909674,0.296620785475275,0.434517666715809,0.244156633082972,0.342079510703364,0.473788312784535,0.268761000159623,0.252715037112471,0.461985280994425,0.283600519662531,0.361916161483828,0.511587776097143,0.188370400287925,0.211780983579873,0.366474273325149,0.290033915178459,0.312708607016007,0.50458518394951,0.280586328882707,0.273102204537059,0.426676440046424,0.232483281065587,0.285695731668873,0.444240590126726,0.1185271708923,0.2543037124352,0.321054792957907
"24","SW5606",1,2111210,1,24,0.389843725056304,0.398084532925729,0.563154580608978,0.243550021602632,0.30447987317648,0.519601802748007,0.210358479596711,0.472637860636245,0.459175752680935,0.0748454851083537,0.269708813271198,0.287466367713004,0.207869367525643,0.292475128236949,0.377018827045586,0.238619571031801,0.333737309381016,0.474425930799288,0.200997613574999,0.316141734359469,0.465794767550694,0.301136319776893,0.433698269544278,0.562772468255037,0.279069139901826,0.3171721161869,0.546122887984981,0.327464603414607,0.45308314211576,0.566667238532307,0.309770220943205,0.288028555490903,0.510898508625136,0.314494350643497,0.383213114443328,0.60095164072719,0.276966341354535,0.348609906986141,0.512299337368963,0.280215783471588,0.279020338933485,0.425223348101358,0.273943894552865,0.382696193841705,0.482893657197063,0.278129612849151,0.403706117591709,0.487397567354394,0.297345920684205,0.283917089234409,0.471395785871014,0.317589762246121,0.399483237407733,0.508985269729782,0.206407985125179,0.198051348599704,0.360727040345328,0.308726696336388,0.310538259969,0.497329899701816,0.285013502729555,0.293170062719088,0.404944463163619,0.197330951722138,0.241106472696606,0.396135989879823,0.108625307553452,0.248493098596905,0.302644080256537
"25","EZRA",1,2111220,1,25,0.377170826446686,0.364172841453507,0.553088895648919,0.217265732871897,0.301799138627783,0.503571336307909,0.201842676169241,0.403871049949032,0.459311177070216,0.0496140846812758,0.291268354875583,0.294109147395879,0.176593101511272,0.283426216681176,0.370784754176512,0.17904503177429,0.321753763902547,0.428255546783504,0.151779937682701,0.28312226586448,0.429437612352837,0.269385594159431,0.36428283642224,0.542696600710299,0.243089075875524,0.339562082811848,0.532745880267,0.295660172196164,0.395682615463247,0.562993245283896,0.28966045388425,0.281806195369714,0.506393219938578,0.283509946139223,0.334865334067727,0.590364570623793,0.256950052934421,0.335080444072764,0.508076758810998,0.244271801486757,0.239390270649647,0.407935254638768,0.229742955452716,0.302634482820241,0.461109547487256,0.245355657002551,0.350912726417314,0.484755559245575,0.271783819163913,0.280360871101966,0.475794829800562,0.283970171969849,0.324995024875622,0.507393880271843,0.181575748968173,0.200371523373945,0.356031527488585,0.29841233016251,0.32794847467523,0.513787003635201,0.286055421583227,0.308518919174543,0.435857111611603,0.202533427467614,0.239297438160688,0.419204968160898,0.117897375161815,0.298202937207272,0.340713376200683
"26","FSG_421LH",1,2111230,1,26,0.322139231339066,0.398838221022805,0.529252678772504,0.23905643455567,0.312404891688779,0.494727447412869,0.238409043872509,0.413586915095692,0.473097526990893,0.0539948200924582,0.267032445265102,0.272928280430259,0.162370208696507,0.293627482800975,0.358383132545456,0.152963813319577,0.3641409746207,0.405589549735752,0.138068764939092,0.28763446081239,0.400715318639838,0.262394624959516,0.393903567710294,0.517549563361783,0.251962606481286,0.313606366933025,0.515943134045762,0.305930744371121,0.431880079775257,0.560059902925808,0.294132192462306,0.285579868018061,0.49035816151474,0.29111547929491,0.372750753540217,0.573638730387418,0.265860998628333,0.352604194172218,0.482032556513692,0.224580221538203,0.205453869047619,0.358000408496732,0.241405354022226,0.33120095391143,0.446498037399865,0.265278506966821,0.37588747284376,0.465440519185797,0.288410081009445,0.266163129112475,0.455341404238463,0.299135329984122,0.367725110853436,0.507179417989315,0.188339426204071,0.186707173290772,0.333341305871007,0.299689065578803,0.324109309530088,0.49506487556305,0.287257872871682,0.29293325530393,0.407360182541512,0.222439164535273,0.262056406699872,0.420826135384486,0.13183795520761,0.27203037464986,0.323055306681496
"27","ONEIDA_VR",1,2111240,1,27,0.315572593870677,0.348695915644307,0.53865204782364,0.232361971815145,0.305378102053294,0.509404236002701,0.242190348410983,0.429392576602506,0.471496372249205,0.0426791847812602,0.31387496702717,0.2941344998388,0.148815202271772,0.322919516643867,0.354813352402272,0.137025252292352,0.387687987816486,0.405935625111303,0.110908494985651,0.322926804502175,0.411452532148167,0.247527271643029,0.33021279135703,0.53219819739159,0.22092632920105,0.349230157488527,0.52818953379224,0.285201721967604,0.37342312517424,0.575415127543909,0.273998316396883,0.268338353413655,0.499381939522797,0.263929301132076,0.308074996195215,0.585590114392026,0.243716071420872,0.325220856171724,0.496278107807412,0.243381481251792,0.269662114845938,0.437950513538749,0.215258397745093,0.293010154620062,0.466388788370213,0.243498513114209,0.349711348194888,0.498869055032034,0.252675201458915,0.2641723446473,0.469491763865996,0.273827488849444,0.294772436781115,0.515508400614509,0.168260020999454,0.22127600569418,0.363355587055915,0.2782468710312,0.282575362651264,0.50621702775403,0.264438696241318,0.291640568195925,0.426916006076835,0.206319162146848,0.27167538826892,0.439399785637728,0.122844573278207,0.282719368290303,0.351348340241074
"28","PERSIST_III",1,2111250,1,28,0.355359567297237,0.402273874965733,0.557088075016294,0.238343778083405,0.329694952201346,0.496305276612182,0.240489350262728,0.438408638817846,0.469255470304064,0.0647556005251214,0.290114745449749,0.294447668454527,0.171383449594561,0.352884426449905,0.351031583519484,0.170256732501776,0.376290046240858,0.42568163814226,0.139526210202909,0.289341184907471,0.435206189508209,0.283701464775634,0.393323186199899,0.553019816754708,0.249633307573222,0.315911686483104,0.542219180225282,0.311777566488862,0.414750845288899,0.584775364028222,0.30014790768156,0.293336851648872,0.51785921024341,0.28603398206662,0.337523143321138,0.591774405540495,0.269470686912968,0.359252411020493,0.503354969221287,0.248544713457498,0.234565972222222,0.413254843604108,0.246079704992225,0.331785196800677,0.494726120113117,0.268313144453088,0.373376921693166,0.508795715886919,0.27659594209968,0.282910205667132,0.482240676388349,0.299449269823085,0.324824114720515,0.520422462849153,0.184645277665925,0.197916303998059,0.364256437038092,0.300567323681485,0.335285255541423,0.523920387013366,0.288123617374335,0.330115093369274,0.439348809164908,0.213874659364429,0.259676576006747,0.442068943706515,0.123366167567149,0.298999201490551,0.354538322116177
"29","ONEIDA_ULTRA",1,2111260,1,29,0.291993393838045,0.369234185660059,0.507865281314241,0.218889083457748,0.31402418128071,0.500689960379977,0.249242292404825,0.447177849733165,0.4755249745158,0.0680048917692367,0.301541663003019,0.271274070166183,0.153761325860009,0.364473997844381,0.322010892094681,0.109216688646027,0.416561811069558,0.386104407312565,0.0903821627943502,0.306082509845486,0.38049619688893,0.244806135494588,0.332596431402462,0.523090441363426,0.215843616396426,0.345290858364622,0.522478358364622,0.287200414885621,0.35911218752904,0.569670569649661,0.268989185981474,0.250307849043232,0.49507412000945,0.258559306759589,0.302035016445989,0.577286675798151,0.241755383891107,0.312750233291684,0.487222924775167,0.232955124255992,0.24546991713352,0.414300449346405,0.226698735801866,0.294611752196892,0.485570134486543,0.2570410763678,0.342035783967786,0.510061023703765,0.252227405203017,0.245298142101745,0.460632644276701,0.280611155420999,0.299740542681719,0.511167755991285,0.166909307297497,0.198864027720316,0.345865653229277,0.283624246496585,0.304981555599678,0.513152999696948,0.261732538096618,0.296233932825467,0.421105031836203,0.191722674037104,0.256300989849316,0.423322825378812,0.110426426262473,0.269995332221958,0.338378344050171
"30","WL_349HQ",1,2111270,1,30,0.350300568998254,0.419103987373495,0.545155626316176,0.228686519846825,0.324556120208294,0.493812070282658,0.234887756963736,0.411943844816214,0.456339269652815,0.123813534931962,0.264896245493713,0.308372314546147,0.226754005075583,0.387944434102755,0.369292292338877,0.212460756969428,0.387693273683384,0.462236780749503,0.16717753688557,0.310712669556216,0.4658234521193,0.308421554834257,0.433308114722297,0.570438863521055,0.257519213256846,0.314284391948269,0.539168231122236,0.314318602870735,0.432696132043776,0.583517688519082,0.287821366779422,0.276595984609625,0.502714215047264,0.286084602761548,0.358164976709344,0.57787058405204,0.25799244714931,0.333307815578079,0.489519857917139,0.238882261639371,0.213942039157199,0.394171455308447,0.262359777455847,0.36114201129681,0.528137336806067,0.281466171909435,0.369256922246669,0.524983879225649,0.257762628214145,0.241555080721747,0.452593709848612,0.297399954058465,0.326019059686501,0.510246096909661,0.175016590280311,0.185454068633103,0.341129596848155,0.30600886618971,0.354470542170062,0.523211030142607,0.268319473016095,0.307343867302725,0.424019223607441,0.180772320977502,0.231301515247042,0.384699997898409,0.119566061924556,0.281192947767342,0.325203112919376
"31","FSG_415BR",1,2111280,1,31,0.317945094298868,0.423787044026574,0.540708651461606,0.223535557610867,0.301225751609383,0.488041540726963,0.225248759053248,0.393213342428854,0.450845480340063,0.0936076427052513,0.311624168351945,0.324995750168528,0.171656451567041,0.367452376520228,0.357131241209564,0.127621256355921,0.405581333074789,0.424124064506895,0.132982651762834,0.286808025996693,0.429853256622214,0.265666492944448,0.380727310711195,0.538373324976871,0.240794416035243,0.319246062786817,0.530671542553191,0.303409906095436,0.39795643813486,0.57516301744905,0.284235216418781,0.280852823056934,0.503081148121899,0.281587801117444,0.338226921448567,0.577409117046754,0.252757532195832,0.334272927011995,0.502746887501426,0.239908376435871,0.232745829129564,0.409059964030355,0.2349550633443,0.306490379245797,0.510394822469126,0.265595942188093,0.339563701274441,0.528004068246918,0.244825275851945,0.241300820405502,0.452379947971595,0.285352640179919,0.30382412580097,0.509126970935966,0.169995088455909,0.2091293767978,0.359080882823939,0.300952400625229,0.323343133779566,0.519175163862071,0.262900106914908,0.283302890043566,0.430453339008199,0.200557275989488,0.264791206943656,0.426448101212618,0.120029652822483,0.286227781553798,0.344183427047289
"32","GUARDSMAN_II",1,2111290,1,32,0.287739188792201,0.400313120843051,0.514198029561656,0.236943522079291,0.32830605597869,0.498668640254318,0.247974405314474,0.420452119685795,0.451733675121425,0.113425999415728,0.288857674609455,0.314951786394677,0.182912040461976,0.374961913941052,0.362063564855118,0.126401305576311,0.399317165057688,0.404730136305366,0.132926720944268,0.282910808732608,0.414963449608778,0.259059249273712,0.362648330117707,0.53151927132409,0.238696798489494,0.316079735085524,0.521343085106383,0.298936618533713,0.386250261360468,0.565129141111421,0.278258866881621,0.266628777114711,0.492871288007957,0.281518987706403,0.336052900488565,0.564872205812469,0.247809500992985,0.31955311405898,0.498324497400369,0.23520297825508,0.232868798526122,0.402590837975757,0.235712851056712,0.318160330963687,0.51426191405718,0.266230952742135,0.33847041396834,0.533960694369491,0.248127749179399,0.252620269953421,0.454685410126928,0.288586373109168,0.315147140116411,0.508483595096413,0.186857936713231,0.206332700032736,0.371502084996895,0.309038018763447,0.31312165064537,0.508807716635041,0.262302289633533,0.287878132259838,0.423720938480909,0.193396630354689,0.262929252081584,0.401968664779502,0.111495116156021,0.2707787368341,0.333575040876079
"33","AMERISTAND_427_TQ",1,2111300,1,33,0.338459249099061,0.378091242881626,0.53141436105822,0.243175520627858,0.31941765726932,0.490605605439365,0.243840792387868,0.399546830964802,0.439171163878395,0.130730510082523,0.266863624373516,0.317784811981594,0.216642477383647,0.396720443451642,0.387021402524009,0.206248083111135,0.350102879233477,0.461808027504228,0.187355656833334,0.311835496602836,0.464105149926045,0.30712997112113,0.419418305206147,0.566579105909061,0.256919890268586,0.306645807259074,0.543406862745098,0.316655487715968,0.423408891081041,0.575472825659611,0.298189559044275,0.290499514397459,0.507369534159045,0.29562335826362,0.342096990262428,0.578093306288032,0.270142698034121,0.338187320737769,0.516987552438987,0.242825078177024,0.205327162930795,0.386863183752248,0.260736760505049,0.361581464058244,0.542489616793022,0.282306236259956,0.376416344943058,0.561579420759129,0.265226617821163,0.247735071897758,0.456723393980116,0.295597794276208,0.325753064741651,0.509628979286574,0.191539657333541,0.17967906236043,0.362573516253652,0.316841640987321,0.360418909080776,0.51900260903793,0.253941292351841,0.281719838975687,0.416325997387197,0.178825423865232,0.236262951053948,0.389948511022844,0.109150567082452,0.274479574501866,0.322499896800826
"34","LIGHTNING_BOLT",1,2111310,1,34,0.371374332828202,0.365511077060589,0.576376949298522,0.249384699337925,0.324488724195827,0.495703927239197,0.261224211034628,0.410087545721653,0.461169574863585,0.117074481772695,0.252147923444415,0.316177496409625,0.196184147463481,0.389461820669071,0.377041749575094,0.209391113649204,0.324651811867873,0.456842173136088,0.179963209995322,0.300645541735507,0.474943109199165,0.294923160365284,0.397163876204972,0.564443399886591,0.250356782237394,0.300913902795161,0.543110528785982,0.301238661000698,0.405532129913577,0.57880395641669,0.292788338430343,0.292574831865113,0.503722648479682,0.28187003342104,0.322902010479465,0.565354869969531,0.257212156006015,0.339399266183323,0.498699851878676,0.244295405346316,0.236827360325189,0.407517217177699,0.248068384101683,0.340821453514952,0.542855504775009,0.270627784310563,0.358386677183223,0.549639807934465,0.266661901619053,0.269181470308921,0.469527121389867,0.294886825788882,0.329114167723474,0.516315806587975,0.182698713498474,0.195651807774264,0.371671711862903,0.307676736428552,0.324398627256089,0.513688283662611,0.258918415470617,0.283341786518647,0.427213818297895,0.200170762580931,0.246601727507723,0.411603303700902,0.128430993625892,0.282067252240263,0.345654334131843
"35","VERNAL",1,2111320,1,35,0.341561699825628,0.320621472109242,0.551296611347086,0.234726762983563,0.321759428409045,0.499372115996157,0.274199612384706,0.41625634157786,0.458568915678594,0.0994915146470265,0.269548198950731,0.29872197309417,0.14960517936609,0.354168217920079,0.359466782493588,0.120341965697512,0.352840312448186,0.364635415707154,0.108284303128524,0.246825889144108,0.371796177788524,0.223035651251,0.312899448108763,0.505659951242129,0.205847940155135,0.309202779516062,0.530994472256988,0.265332491928513,0.333582666752447,0.563562294039015,0.259380553968816,0.244158857652834,0.491379973676217,0.245366133976883,0.283666328132928,0.559096448029648,0.244328421142345,0.329407161325467,0.504055961761253,0.246055993241607,0.255763331432498,0.432813820531941,0.21283626257137,0.268967874231032,0.517934765612784,0.247685313975827,0.340869276433227,0.553002476925844,0.254323509838017,0.24713023506527,0.472783795371485,0.269310517972289,0.317471596556716,0.507916594154864,0.158675693256634,0.204860080392307,0.373073539562309,0.285921573618391,0.335463887788366,0.513388208881568,0.24805863200027,0.298188772041828,0.432540980214817,0.181097681144503,0.264972784397789,0.4296639556144,0.106509314638911,0.289866406121272,0.3396578668232
